"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"libcurl","7.88.1","curl","COPYING","curl-7.88.1.tar.xz","https://curl.se/download","brotli [MIT] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"brotli","1.0.9","MIT","LICENSE","v1.0.9.tar.gz","https://github.com/google/brotli/archive","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"lz4","1.9.4","BSD-2-Clause (library), GPL-2.0+ (programs)","lib/LICENSE programs/COPYING","lz4-1.9.4.tar.gz","https://github.com/lz4/lz4/archive/v1.9.4","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"pcre2","10.42","BSD-3-Clause","LICENCE","pcre2-10.42.tar.bz2","https://github.com/PhilipHazel/pcre2/releases/download/pcre2-10.42","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"util-linux-libs","2.38","LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)","README.licensing Documentation/licenses/COPYING.BSD-3-Clause Documentation/licenses/COPYING.LGPL-2.1-or-later","util-linux-2.38.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.38","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"avahi","0.8","LGPL-2.1+","LICENSE","avahi-0.8.tar.gz","https://github.com/lathiat/avahi/releases/download/v0.8","brotli [MIT] dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] expat [MIT] iptables [GPL-2.0] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libcurl [curl] libdaemon [LGPL-2.1+] libevent [BSD-3-Clause, OpenBSD] libffi [MIT] libglib2 [LGPL-2.1+] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] lz4 [BSD-2-Clause (library), GPL-2.0+ (programs)] pcre [BSD-3-Clause] pcre2 [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-systemd [unknown] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] toolchain-external-arm-aarch64 [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"dbus","1.12.24","AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)","COPYING","dbus-1.12.24.tar.gz","https://dbus.freedesktop.org/releases/dbus","brotli [MIT] expat [MIT] iptables [GPL-2.0] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libcurl [curl] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] lz4 [BSD-2-Clause (library), GPL-2.0+ (programs)] pcre2 [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-systemd [unknown] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] toolchain-external-arm-aarch64 [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"expat","2.5.0","MIT","COPYING","expat-2.5.0.tar.xz","http://downloads.sourceforge.net/project/expat/expat/2.5.0","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"libdaemon","0.14","LGPL-2.1+","LICENSE","libdaemon-0.14.tar.gz","http://0pointer.de/lennart/projects/libdaemon","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"libevent","2.1.12","BSD-3-Clause, OpenBSD","LICENSE","libevent-2.1.12-stable.tar.gz","https://github.com/libevent/libevent/releases/download/release-2.1.12-stable","libopenssl [OpenSSL or SSLeay] libzlib [Zlib] skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
